"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2009","2009",,,"0","Units",,,0.933591861734953,,
"AUS","Australia","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2010","2010",,,"0","Units",,,0.690092346441041,,
"AUS","Australia","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2011","2011",,,"0","Units",,,0.616089280259934,,
"AUS","Australia","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2012","2012",,,"0","Units",,,0.586471323765367,,
"AUS","Australia","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2013","2013",,,"0","Units",,,0.595296929053568,,
"AUS","Australia","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2014","2014",,,"0","Units",,,0.590928790587494,,
"AUS","Australia","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2015","2015",,,"0","Units",,,0.591095548014632,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2000","2000",,,"0","Units",,,5.67932647440098,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2001","2001",,,"0","Units",,,5.85068935754979,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2002","2002",,,"0","Units",,,5.87320215741111,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2003","2003",,,"0","Units",,,5.95756986617331,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2004","2004",,,"0","Units",,,6.22103253463086,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2005","2005",,,"0","Units",,,6.15577612075108,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2006","2006",,,"0","Units",,,6.09391004727621,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2007","2007",,,"0","Units",,,6.2127063915883,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2008","2008",,,"0","Units",,,6.34450797328879,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2009","2009",,,"0","Units",,,6.64972859897434,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2010","2010",,,"0","Units",,,6.52453512651928,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2011","2011",,,"0","Units",,,6.65667194412915,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2012","2012",,,"0","Units",,,6.65693770841375,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2013","2013",,,"0","Units",,,6.63484576454618,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2014","2014",,,"0","Units",,,6.78419987293707,,
"AUS","Australia","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2015","2015",,,"0","Units",,,7.00273169640091,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2000","2000",,,"0","Units",,,0.870414968244108,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2001","2001",,,"0","Units",,,0.780905080921123,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2002","2002",,,"0","Units",,,0.797542948461846,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2003","2003",,,"0","Units",,,0.809254865342917,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2004","2004",,,"0","Units",,,0.77289940815572,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2005","2005",,,"0","Units",,,0.78891643166103,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2006","2006",,,"0","Units",,,0.763671402263773,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2007","2007",,,"0","Units",,,0.788575340627344,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2008","2008",,,"0","Units",,,0.771101738292022,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2009","2009",,,"0","Units",,,0.779735185146759,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2010","2010",,,"0","Units",,,0.746352943833994,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2011","2011",,,"0","Units",,,0.737799925039581,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2012","2012",,,"0","Units",,,0.733967885325003,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2013","2013",,,"0","Units",,,0.71221684923023,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2014","2014",,,"0","Units",,,0.707341577648745,,
"AUS","Australia","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2015","2015",,,"0","Units",,,0.723980757211083,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2000","2000",,,"0","Units",,,5.02761443609534,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2001","2001",,,"0","Units",,,5.06196196766867,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2002","2002",,,"0","Units",,,5.09613463843388,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2003","2003",,,"0","Units",,,5.03461515680474,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2004","2004",,,"0","Units",,,5.0642312041467,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2005","2005",,,"0","Units",,,4.98248748030469,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2006","2006",,,"0","Units",,,4.78228738819411,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2007","2007",,,"0","Units",,,4.71718226164155,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2008","2008",,,"0","Units",,,4.95062076189645,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2009","2009",,,"0","Units",,,5.4938053859059,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2010","2010",,,"0","Units",,,5.34207431481369,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2011","2011",,,"0","Units",,,5.05909468621329,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2012","2012",,,"0","Units",,,5.17513752134176,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2013","2013",,,"0","Units",,,5.10093648539596,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2014","2014",,,"0","Units",,,5.2063171943718,,
"AUS","Australia","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2015","2015",,,"0","Units",,,5.28514976205186,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2000","2000",,,"0","Units",,,10.2571957802532,,
"AUS","Australia","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2001","2001",,,"0","Units",,,9.95421960535788,,
