"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2016","2016",,,"0","Units",,,0.313117885713073,,
"IRL","Ireland","TLYCG020GS13S","General government expenditure by function, defence, percentage of GDP","2017","2017",,,"0","Units",,,0.271920614666167,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2000","2000",,,"0","Units",,,1.49869348214538,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2001","2001",,,"0","Units",,,1.53162572500391,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2002","2002",,,"0","Units",,,1.45094260564782,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2003","2003",,,"0","Units",,,1.42736997114249,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2004","2004",,,"0","Units",,,1.44107550776592,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2005","2005",,,"0","Units",,,1.38673938422318,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2006","2006",,,"0","Units",,,1.43027548639179,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2007","2007",,,"0","Units",,,1.50596305060053,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2008","2008",,,"0","Units",,,1.73823637364695,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2009","2009",,,"0","Units",,,1.73332773909703,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2010","2010",,,"0","Units",,,1.66251818318049,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2011","2011",,,"0","Units",,,1.57847421116404,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2012","2012",,,"0","Units",,,1.47250681003426,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2013","2013",,,"0","Units",,,1.42953469799129,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2014","2014",,,"0","Units",,,1.34911930250332,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2015","2015",,,"0","Units",,,1.04172826382506,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2016","2016",,,"0","Units",,,1.04697516274484,,
"IRL","Ireland","TLYCG030GS13S","General government expenditure by function, public order and safety, percentage of GDP","2017","2017",,,"0","Units",,,1.01459007897607,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2000","2000",,,"0","Units",,,3.63693064196792,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2001","2001",,,"0","Units",,,3.95315145568464,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2002","2002",,,"0","Units",,,3.78075179422989,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2003","2003",,,"0","Units",,,3.59523938380761,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2004","2004",,,"0","Units",,,3.29307352205267,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2005","2005",,,"0","Units",,,3.15154527322248,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2006","2006",,,"0","Units",,,3.38659041722156,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2007","2007",,,"0","Units",,,3.60387228185946,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2008","2008",,,"0","Units",,,5.17787664060267,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2009","2009",,,"0","Units",,,6.45786275542578,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2010","2010",,,"0","Units",,,25.033836534601,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2011","2011",,,"0","Units",,,7.55131839412067,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2012","2012",,,"0","Units",,,3.16708399507428,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2013","2013",,,"0","Units",,,3.0161872997286,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2014","2014",,,"0","Units",,,2.97055915210578,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2015","2015",,,"0","Units",,,3.05970225069302,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2016","2016",,,"0","Units",,,2.3901293908328,,
"IRL","Ireland","TLYCG040GS13S","General government expenditure by function, economic affairs, percentage of GDP","2017","2017",,,"0","Units",,,2.24727599923403,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2000","2000",,,"0","Units",,,0.742883395338596,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2001","2001",,,"0","Units",,,0.816530873808532,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2002","2002",,,"0","Units",,,0.797305351549555,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2003","2003",,,"0","Units",,,0.806769552234109,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2004","2004",,,"0","Units",,,0.883986450954036,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2005","2005",,,"0","Units",,,0.877634659885777,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2006","2006",,,"0","Units",,,0.940269695247528,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2007","2007",,,"0","Units",,,1.01204830547868,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2008","2008",,,"0","Units",,,1.06738035596607,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2009","2009",,,"0","Units",,,1.0499730956806,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2010","2010",,,"0","Units",,,0.954580597945052,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2011","2011",,,"0","Units",,,0.72966221091636,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2012","2012",,,"0","Units",,,0.715064551734397,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2013","2013",,,"0","Units",,,0.578672341751279,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2014","2014",,,"0","Units",,,0.51895560953796,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2015","2015",,,"0","Units",,,0.39865174252587,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2016","2016",,,"0","Units",,,0.399107612241289,,
"IRL","Ireland","TLYCG050GS13S","General government expenditure by function, environment protection, percentage of GDP","2017","2017",,,"0","Units",,,0.377661911168423,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2000","2000",,,"0","Units",,,1.08079504533096,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2001","2001",,,"0","Units",,,1.30357301326359,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2002","2002",,,"0","Units",,,1.29345418591572,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2003","2003",,,"0","Units",,,1.07479044784645,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2004","2004",,,"0","Units",,,1.02847506073875,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2005","2005",,,"0","Units",,,1.10365076299437,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2006","2006",,,"0","Units",,,1.27221607710468,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2007","2007",,,"0","Units",,,1.70659483970686,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2008","2008",,,"0","Units",,,1.63079055368989,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2009","2009",,,"0","Units",,,1.26528104275932,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2010","2010",,,"0","Units",,,1.19651968662692,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2011","2011",,,"0","Units",,,0.828569297510737,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2012","2012",,,"0","Units",,,0.717217414606675,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2013","2013",,,"0","Units",,,0.638980280219755,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2014","2014",,,"0","Units",,,0.750966781929364,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2015","2015",,,"0","Units",,,0.557923726851145,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2016","2016",,,"0","Units",,,0.528003863987355,,
"IRL","Ireland","TLYCG060GS13S","General government expenditure by function, housing and community amenities, percentage of GDP","2017","2017",,,"0","Units",,,0.485594161680131,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2000","2000",,,"0","Units",,,4.83816259217697,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2001","2001",,,"0","Units",,,5.19268636882627,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2002","2002",,,"0","Units",,,5.82859404563423,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2003","2003",,,"0","Units",,,6.06857237333922,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2004","2004",,,"0","Units",,,6.46046801930968,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2005","2005",,,"0","Units",,,6.00144586506753,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2006","2006",,,"0","Units",,,5.93023876109074,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2007","2007",,,"0","Units",,,6.22703467493877,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2008","2008",,,"0","Units",,,6.9169331706944,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2009","2009",,,"0","Units",,,7.84559490209791,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2010","2010",,,"0","Units",,,7.453382526667,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2011","2011",,,"0","Units",,,7.59908016729323,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2012","2012",,,"0","Units",,,7.49659973094712,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2013","2013",,,"0","Units",,,7.23660752233756,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2014","2014",,,"0","Units",,,6.80669449890985,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2015","2015",,,"0","Units",,,5.25158867374436,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2016","2016",,,"0","Units",,,5.23743761706568,,
"IRL","Ireland","TLYCG070GS13S","General government expenditure by function, health, percentage of GDP","2017","2017",,,"0","Units",,,5.08987223322064,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2000","2000",,,"0","Units",,,0.560959358451954,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2001","2001",,,"0","Units",,,0.631771525530938,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2002","2002",,,"0","Units",,,0.639802221522321,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2003","2003",,,"0","Units",,,0.559098238617149,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2004","2004",,,"0","Units",,,0.572779721852112,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2005","2005",,,"0","Units",,,0.572452692818199,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2006","2006",,,"0","Units",,,0.606961105075044,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2007","2007",,,"0","Units",,,0.676975722923915,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2008","2008",,,"0","Units",,,0.817956934312074,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2009","2009",,,"0","Units",,,0.940743583428455,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2010","2010",,,"0","Units",,,0.864138864737297,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2011","2011",,,"0","Units",,,0.853688278842205,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2012","2012",,,"0","Units",,,0.805073635535078,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2013","2013",,,"0","Units",,,0.785489330184428,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2014","2014",,,"0","Units",,,0.730311627997882,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2015","2015",,,"0","Units",,,0.552528674685141,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2016","2016",,,"0","Units",,,0.572250182906784,,
"IRL","Ireland","TLYCG080GS13S","General government expenditure by function, recreation, culture and religion, percentage of GDP","2017","2017",,,"0","Units",,,0.527319887961521,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2000","2000",,,"0","Units",,,3.95933210755057,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2001","2001",,,"0","Units",,,4.10918795316489,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2002","2002",,,"0","Units",,,4.06218916078271,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2003","2003",,,"0","Units",,,4.13940177122355,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2004","2004",,,"0","Units",,,4.14080493023417,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2005","2005",,,"0","Units",,,4.10918604931589,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2006","2006",,,"0","Units",,,4.01727124486677,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2007","2007",,,"0","Units",,,4.32425019062847,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2008","2008",,,"0","Units",,,4.72369636938786,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2009","2009",,,"0","Units",,,4.69061390299749,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2010","2010",,,"0","Units",,,4.61397713065347,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2011","2011",,,"0","Units",,,5.08432534272496,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2012","2012",,,"0","Units",,,4.8904307375428,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2013","2013",,,"0","Units",,,4.74855857512578,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2014","2014",,,"0","Units",,,4.33301396403107,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2015","2015",,,"0","Units",,,3.3060902501417,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2016","2016",,,"0","Units",,,3.33652064565723,,
"IRL","Ireland","TLYCG090GS13S","General government expenditure by function, education, percentage of GDP","2017","2017",,,"0","Units",,,3.2263127169876,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2000","2000",,,"0","Units",,,9.84052461430955,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2001","2001",,,"0","Units",,,10.5955259394612,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2002","2002",,,"0","Units",,,11.1838328592164,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2003","2003",,,"0","Units",,,11.2541913609714,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2004","2004",,,"0","Units",,,11.1840306534909,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2005","2005",,,"0","Units",,,12.1016536867462,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2006","2006",,,"0","Units",,,12.3143739817923,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2007","2007",,,"0","Units",,,13.0875262553085,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2008","2008",,,"0","Units",,,15.4544368936662,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2009","2009",,,"0","Units",,,18.0177313841602,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2010","2010",,,"0","Units",,,17.725995444392,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2011","2011",,,"0","Units",,,16.2262941141692,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2012","2012",,,"0","Units",,,15.9616222816774,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2013","2013",,,"0","Units",,,15.1662247811675,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2014","2014",,,"0","Units",,,13.8047109542034,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2015","2015",,,"0","Units",,,10.3406333287045,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2016","2016",,,"0","Units",,,10.0863092954102,,
"IRL","Ireland","TLYCG100GS13S","General government expenditure by function, social protection, percentage of GDP","2017","2017",,,"0","Units",,,9.3864306458576,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2000","2000",,,"0","Units",,,1541.77426437877,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2001","2001",,,"0","Units",,,1597.86419920105,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2002","2002",,,"0","Units",,,1639.68050056361,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2003","2003",,,"0","Units",,,1671.51633883428,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2004","2004",,,"0","Units",,,1703.31945479417,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2005","2005",,,"0","Units",,,1746.65810988136,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2006","2006",,,"0","Units",,,1885.02380964836,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2007","2007",,,"0","Units",,,1993.22689606871,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2008","2008",,,"0","Units",,,2089.71730699174,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2009","2009",,,"0","Units",,,2045.2915366324,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2010","2010",,,"0","Units",,,2083.93640015877,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2011","2011",,,"0","Units",,,2173.16996050655,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2012","2012",,,"0","Units",,,2172.38310814282,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2013","2013",,,"0","Units",,,2187.37660667904,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2014","2014",,,"0","Units",,,2200.25640916337,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2015","2015",,,"0","Units",,,2241.52374287195,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2016","2016",,,"0","Units",,,2375.28864702505,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2017","2017",,,"0","Units",,,2494.11493036861,,
"ITA","Italy","GDPCPC","Gross domestic product (GDP), current PPPs, billions US dollars","2018","2018",,,"0","Units",,,2527.86611062133,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2000","2000",,,"0","Units",,,46.612741748888,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2001","2001",,,"0","Units",,,47.5182582792603,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2002","2002",,,"0","Units",,,46.7864254430581,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2003","2003",,,"0","Units",,,47.2448741275677,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2004","2004",,,"0","Units",,,46.8381987467642,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2005","2005",,,"0","Units",,,47.1439201383074,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2006","2006",,,"0","Units",,,47.6296202440416,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2007","2007",,,"0","Units",,,46.7911295499341,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2008","2008",,,"0","Units",,,47.8303843002742,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2009","2009",,,"0","Units",,,51.1585034900666,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2010","2010",,,"0","Units",,,49.8901069451227,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2011","2011",,,"0","Units",,,49.3789508147024,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2012","2012",,,"0","Units",,,50.7875023632199,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2013","2013",,,"0","Units",,,51.0645306980416,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2014","2014",,,"0","Units",,,50.8995039668838,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2015","2015",,,"0","Units",,,50.2644718003077,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2016","2016",,,"0","Units",,,49.0391898801295,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2017","2017",,,"0","Units",,,48.9118935220737,,
"ITA","Italy","TES13S","Total expenditure of general government, percentage of GDP","2018","2018",,,"0","Units",,,48.5843476439564,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2000","2000",,,"0","Units",,,44.1742827994274,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2001","2001",,,"0","Units",,,44.1250538344196,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2002","2002",,,"0","Units",,,43.7912423756916,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2003","2003",,,"0","Units",,,43.9057873764587,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2004","2004",,,"0","Units",,,43.3417679149014,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2005","2005",,,"0","Units",,,43.0387343171611,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2006","2006",,,"0","Units",,,44.1064728654687,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2007","2007",,,"0","Units",,,45.3263109185495,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2008","2008",,,"0","Units",,,45.1993774104697,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2009","2009",,,"0","Units",,,45.9102907071704,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2010","2010",,,"0","Units",,,45.6786772572015,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2011","2011",,,"0","Units",,,45.7006384694273,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2012","2012",,,"0","Units",,,47.8693209113196,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2013","2013",,,"0","Units",,,48.142118489285,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2014","2014",,,"0","Units",,,47.8572563094268,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2015","2015",,,"0","Units",,,47.6532266431263,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2016","2016",,,"0","Units",,,46.5149033272104,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2017","2017",,,"0","Units",,,46.521859820775,,
"ITA","Italy","TRS13S","Total general government (GG) revenue, percentage of GDP","2018","2018",,,"0","Units",,,46.4497207284197,,
"ITA","Italy","D62_D63PS13S","Social benefits and social transfers in kind, percentage of GDP","2000","2000",,,"0","Units",,,26.09116377973,,
"ITA","Italy","D62_D63PS13S","Social benefits and social transfers in kind, percentage of GDP","2001","2001",,,"0","Units",,,26.3334806898997,,
"ITA","Italy","D62_D63PS13S","Social benefits and social transfers in kind, percentage of GDP","2002","2002",,,"0","Units",,,26.7444309092728,,
